"","name","name_match","id_match","1860-1864","1864-1866","1866-1868","1868-1871","1871-1875","1875-1879","1879-1883","1883-1884","1884-1886","1886-1887","1887-1888","1888-1891","1891-1894","1894-1897","1897-1901","1901-1905","1905-1909","1909-1913","1913-1917","1917-1918","1918-1922"
"122","Herman Jacob Dijckmeester ","Herman Jacob Dijckmeester","00360",0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"123","Frederik Willem Jacob van Aylva van Pellandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"124","Henri Daniël Guyot","Henri Daniël Guyot","00498",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"125","Theodorus Lebuïnus Maria Hubertus Borret","Theodorus Lebuïnus Maria Hubertus Borret","00169",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"126","Jan Hendrik Jacob Quarles van Ufford","Jan Hendrik Jacob Quarles van Ufford","01070",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"127","Schelto van Citters","Schelto Citters","00256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"128","Anthon Gerrit Aemile van Rappard ","Anthon Gerrit Æmile Rappard","01082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"129","Henri ter Hall","Henri Hubert Kol","00723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"130","Wieger Hendrikus Idzerda","Wieger Hendrikus Idzerda","00625",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Menso Johannes Pijnappel","Menso Johannes Pijnappel","01068",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"132","Aloysius Franciscus Xaverius Luyben","Aloysius Franciscus Xaverius Luyben","00851",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Isaäc Lambertus Cremer van den Berch van Heemstede","Isaäc Lambertus Cremer van den Berch van Heemstede","00088",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Alexander Schimmelpenninck van der Oye ","Alexander Schimmelpenninck van der Oye","01203",0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"135","Herman Schaepman","Jan Schepel","01191",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"136","Gerard Jacob Theodoor Beelaerts van Blokland","Gerard Jacob Theodoor Beelaerts van Blokland","00076",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"137","Jacob Theodoor Cremer","Jacob Theodoor Cremer","00279",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"138","Carel Victor Gerritsen","Carel Victor Gerritsen","00450",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"139","Wiel Nolens","Jan Molen","00934",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"140","Andries Popke Staalman","Andries Popke Staalman","01293",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"141","Arie Colijn","Arie Smit","01273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"142","Abraham Staalman","Abraham Staalman","01292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"143","Franciscus Johannes Jespers","Franciscus Johannes Jespers","00642",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Cornelis van Foreest ","Cornelis Foreest","00416",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Franciscus Johannes Emilius van Zinnicq Bergmann","Franciscus Joannes Emilius Zinnicq Bergmann","01601",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Frederik Willem Jacob van Aylva van Pallandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"147","Willem Cornelis Johannes Josephus Cremers","Willem Cornelis Johannes Josephus Cremers","00282",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"148","Hendrik Johannes Bool","Hendrik Johannes Bool","00160",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"149","Hendrik Adriaan van Beuningen","Hendrik Adriaan Beuningen","00107",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"150","Adrien Jonathan Rethaan Macaré","Adrien Jonathan Rethaan Macaré","01101",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"151","François Isidore Joseph Janssen","Franciscus Isidorus Josephus Janssen","00638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"152","Johan Heinrich Blum","Johan Heinrich Blum","00135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"153","Willem Otto Adriaan Koster","Willem Otto Adriaan Koster","00742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"154","Jan Hendrik Joseph Beckers","Jan Hendrik Joseph Beckers","00072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"155","Gijsbertus Martinus van der Linden","Gijsbertus Martinus Linden","00828",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"156","Willem Groen van Prinsterer","Guillaume Groen van Prinsterer","00485",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Willem Jan Knoop","Willem Jan Knoop","00711",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Jan Stoffel","Jan Stoffel","01305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"159","Hendrik Bijleveld ","Hendrik Bijleveld","00246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"160","Bernardus Dirks Eerdmans","Bernardus Dirks Eerdmans","00369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"161","Adolf Robbert van de Laar","Adolf Robbert Laar","00774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"162","Karel Adrianus Meeussen","Karel Adrianus Meeussen","00895",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Willem Hendrik van Idzerda","Wieger Hendrikus Idzerda","00625",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Herman Albrecht Insinger","Herman Albrecht Insinger","00628",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Isaäc Burchard Diederik van den Berch van Heemstede","Isaäc Burchard Diederik Berch van Heemstede","00087",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"166","Willy Kruyt","Willem Kaay","00666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"167","Nicolaas Olivier","Nicolaas Olivier","01000",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Pieter Philip van Bosse","Pieter Philip Bosse","00184",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Leopold Haffmans","Meinard Tydeman","01384",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"170","Idzerd Frans van Humalda van Eysinga","Idzerd Frans Humalda van Eysinga","00618",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Wilco Julius van Welderen Rengers","Wilco Julius Welderen baron Rengers","01518",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"172","Hubert Joachim Brouwers","Hubert Joachim Brouwers","00217",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
