"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Michel Henry Godefroi","Michel Henry Godefroi","00464",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charles Jean François Mirandolle","Charles Jean François Mirandolle","00930",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pierre Guillaume Jean van der Schrieck","Pierre Guillaume Jean Schrieck","01229",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Willem Karel van Dedem","Willem Karel Dedem","00295",0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Abraham van Laer","Abraham Laer","00776",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leonard Frans Hubert Carl Ruland","Leonard Frans Hubert Carl Ruland","01143",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"Meinard Tydeman ","Meinard Tydeman","01384",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"Henri van Kol","Henri Hubert Kol","00723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Jan Schokking","Jan Schokking","01215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Geert van der Zwaag","Geert Lourens Zwaag","01604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Jean Baptiste Louis Corneille Charles de Wijkerslooth de Weerdesteyn","Jean Baptiste Louis Corneille Charles Wijkerslooth de Weerdesteyn","01580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"Maximilien Joseph Caspar Marie Kolkman","Maximilien Joseph Caspar Marie Kolkman","00727",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Willem Hendrik de Buisonjé","Willem Hendrik Buisonjé","00236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Daniël van Eck","Daniël Eck","00368",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"François Willem Cornelis Blom","François Willem Cornelis Blom","00130",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sybrand Hingst","Sybrand Hingst","00583",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Heemskerk Azn.","Jan Heemskerk","00537",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Æneas Mackay ","Æneas Mackay","00862",0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
"Johannes Hendricus Donner","Johannes Hendricus Donner","00334",0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"Ulrich Herman Huber ","Ulrich Herman Huber","00612",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Jan van den Biesen","Jan Jacob Willem Biesen","00118",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Carel Marie Brantsen","Carel Marie Brantsen","00197",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jacobus Petrus Havelaar","Jacob Petrus Havelaar","00530",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Johannes Theodoor de Visser","Johannes Theodoor Visser","01446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
"Gerrit de Jongh","Gerrit Johannes Jongh","00662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pieter Otto","Pieter Otto","01009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
