gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
008068,000003,19821231,,I0003,OCCIDENTAL PETROLEUM CORP,OXY,674599105,0000797468,1311
003362,000003,19830831,,I0003,CONAGRA BRANDS INC,CAG,205887102,0000023217,2000
006733,000003,19830930,,I0003,L BRANDS INC,LB,501797104,0000701985,5600
002136,000003,19831130,,I0003,VERIZON COMMUNICATIONS INC,VZ,92343V104,0000732712,4812
009899,000003,19831130,,I0003,AT&T INC,T,00206R102,0000732717,4812
006829,000003,19840229,,I0003,LOWE'S COS INC,LOW,548661107,0000060667,5211
008823,000003,19840430,,I0003,PULTEGROUP INC,PHM,745867101,0000822416,1531
001380,000003,19840531,,I0003,HESS CORP,HES,42809H107,0000004447,1311
006774,000003,19840731,,I0003,LOCKHEED MARTIN CORP,LMT,539830109,0000936468,3760
005518,000003,19840930,,I0003,HASBRO INC,HAS,418056107,0000046080,3944
001988,000003,19841031,,I0003,BALL CORP,BLL,058498106,0000009389,3411
001209,000003,19850430,,I0003,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810
008030,000003,19850430,,I0003,NUCOR CORP,NUE,670346105,0000073309,3312
004145,000003,19850531,,I0003,PERKINELMER INC,PKI,714046109,0000031791,3826
007985,000003,19850630,,I0003,NORTHROP GRUMMAN CORP,NOC,666807102,0001133421,3812
005742,000003,19850731,,I0003,CENTERPOINT ENERGY INC,CNP,15189T107,0001130310,4931
011672,000003,19850930,,I0003,TJX COS INC (THE),TJX,872540109,0000109198,5651
004058,000003,19851031,,I0003,DOVER CORP,DOV,260003108,0000029905,3585
008358,000003,19851130,,I0003,PARKER-HANNIFIN CORP,PH,701094104,0000076334,3490
005878,000003,19860228,,I0003,ILLINOIS TOOL WORKS,ITW,452308109,0000049826,3560
006268,000003,19860531,,I0003,JOHNSON CONTROLS INTL PLC,JCI,G51502105,0000833444,3585
004990,000003,19860831,,I0003,GAP INC,GPS,364760108,0000039911,5651
007922,000003,19860831,,I0003,NORDSTROM INC,JWN,655664100,0000072333,5651
007228,000003,19861031,,I0003,MEDTRONIC PLC,MDT,G5960L103,0001613103,3845
002269,000003,19861130,,I0003,BLOCK H & R INC,HRB,093671105,0000012659,7200
010247,000003,19861231,,I0003,SYSCO CORP,SYY,871829107,0000096021,5140
007065,000003,19870831,,I0003,MARSH & MCLENNAN COS,MMC,571748102,0000062709,6411
001913,000003,19871231,,I0003,AVERY DENNISON CORP,AVY,053611109,0000008818,2670
005680,000003,19880331,,I0003,HOME DEPOT INC,HD,437076102,0000354950,5211
008245,000003,19880430,,I0003,PNC FINANCIAL SVCS GROUP INC,PNC,693475105,0000713676,6020
003243,000003,19880531,,I0003,CITIGROUP INC,C,172967424,0000831001,6199
010187,000003,19880531,20191208,I0003,SUNTRUST BANKS INC,STI,867914103,0000750556,6020
007906,000003,19881130,,I0003,NIKE INC  -CL B,NKE,654106103,0000320187,3021
004213,000003,19890131,,I0003,ECOLAB INC,ECL,278865100,0000031462,2842
007875,000003,19890430,,I0003,NEWELL BRANDS INC,NWL,651229106,0000814453,3990
012142,000003,19890831,,I0003,ORACLE CORP,ORCL,68389X105,0001341439,7370
001878,000003,19891201,,I0003,AUTODESK INC,ADSK,052769106,0000769397,7370
007017,000003,19910501,,I0003,MARATHON OIL CORP,MRO,565849106,0000101778,1311
010860,000003,19910919,,I0003,AMEREN CORP,AEE,023608102,0001002910,4931
001602,000003,19920102,,I0003,AMGEN INC,AMGN,031162100,0000318154,2836
025124,000003,19920701,,I0003,LINDE PLC,LIN,G5494J103,0001707925,2810
006136,000003,19921001,,I0003,INTERPUBLIC GROUP OF COS,IPG,460690100,0000051644,7311
029028,000003,19931001,,I0003,COSTCO WHOLESALE CORP,COST,22160K105,0000909832,5399
020779,000003,19931201,,I0003,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576
029392,000003,19940101,,I0003,EASTMAN CHEMICAL CO,EMN,277432100,0000915389,2821
009783,000003,19940301,,I0003,KEYCORP,KEY,493267108,0000091576,6020
012726,000003,19940301,,I0003,UNUM GROUP,UNM,91529Y106,0000005513,6321
012141,000003,19940601,,I0003,MICROSOFT CORP,MSFT,594918104,0000789019,7372
009882,000003,19940701,,I0003,SOUTHWEST AIRLINES,LUV,844741108,0000092380,4512
010903,000003,19940701,,I0003,UNITEDHEALTH GROUP INC,UNH,91324P102,0000731766,6324
