 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
DGX       Market-Adjusted Model            .        .        .     
XEL       Market-Adjusted Model            .        .        .     
NLSN      Market-Adjusted Model            .        .        .     
NOV       Market-Adjusted Model            .        .        .     
OMC       Market-Adjusted Model            .        .        .     
TFX       Market-Adjusted Model            .        .        .     
ABT       Market-Adjusted Model            .        .        .     
MET       Market-Adjusted Model            .        .        .     
HON       Market-Adjusted Model            .        .        .     
JBHT      Market-Adjusted Model            .        .        .     
EW        Market-Adjusted Model            .        .        .     
LNC       Market-Adjusted Model            .        .        .     
ITW       Market-Adjusted Model            .        .        .     
RE        Market-Adjusted Model            .        .        .     
CTL       Market-Adjusted Model            .        .        .     
HSY       Market-Adjusted Model            .        .        .     
HBAN      Market-Adjusted Model            .        .        .     
HOG       Market-Adjusted Model            .        .        .     
JWN       Market-Adjusted Model            .        .        .     
BSX       Market-Adjusted Model            .        .        .     
ODFL      Market-Adjusted Model            .        .        .     
KEY       Market-Adjusted Model            .        .        .     
AVGO      Market-Adjusted Model            .        .        .     
WMT       Market-Adjusted Model            .        .        .     
STT       Market-Adjusted Model            .        .        .     
NWL       Market-Adjusted Model            .        .        .     
NKE       Market-Adjusted Model            .        .        .     
AVB       Market-Adjusted Model            .        .        .     
L         Market-Adjusted Model            .        .        .     
GS        Market-Adjusted Model            .        .        .     
BAX       Market-Adjusted Model            .        .        .     
OXY       Market-Adjusted Model            .        .        .     
ACN       Market-Adjusted Model            .        .        .     
ABBV      Market-Adjusted Model            .        .        .     
TROW      Market-Adjusted Model            .        .        .     
PAYX      Market-Adjusted Model            .        .        .     
COTY      Market-Adjusted Model            .        .        .     
MA        Market-Adjusted Model            .        .        .     
XRX       Market-Adjusted Model            .        .        .     
XOM       Market-Adjusted Model            .        .        .     
BDX       Market-Adjusted Model            .        .        .     
MKTX      Market-Adjusted Model            .        .        .     
IR        Market-Adjusted Model            .        .        .     
PRGO      Market-Adjusted Model            .        .        .     
ED        Market-Adjusted Model            .        .        .     
CERN      Market-Adjusted Model            .        .        .     
ADS       Market-Adjusted Model            .        .        .     
CSX       Market-Adjusted Model            .        .        .     
ICE       Market-Adjusted Model            .        .        .     
AJG       Market-Adjusted Model            .        .        .     
AAL       Market-Adjusted Model            .        .        .     
LH        Market-Adjusted Model            .        .        .     
CCI       Market-Adjusted Model            .        .        .     
DVA       Market-Adjusted Model            .        .        .     
TXT       Market-Adjusted Model            .        .        .     
CLX       Market-Adjusted Model            .        .        .     
ADSK      Market-Adjusted Model            .        .        .     
SYY       Market-Adjusted Model            .        .        .     
SEE       Market-Adjusted Model            .        .        .     
MCHP      Market-Adjusted Model            .        .        .     
BF.B      Market-Adjusted Model            .        .        .     
MYL       Market-Adjusted Model            .        .        .     
BR        Market-Adjusted Model            .        .        .     
ISRG      Market-Adjusted Model            .        .        .     
TWTR      Market-Adjusted Model            .        .        .     
UAL       Market-Adjusted Model            .        .        .     
ALGN      Market-Adjusted Model            .        .        .     
WELL      Market-Adjusted Model            .        .        .     
CCL       Market-Adjusted Model            .        .        .     
BBY       Market-Adjusted Model            .        .        .     
BMY       Market-Adjusted Model            .        .        .     
CVS       Market-Adjusted Model            .        .        .     
DRE       Market-Adjusted Model            .        .        .     
PYPL      Market-Adjusted Model            .        .        .     
HST       Market-Adjusted Model            .        .        .     
HES       Market-Adjusted Model            .        .        .     
BAC       Market-Adjusted Model            .        .        .     
FTV       Market-Adjusted Model            .        .        .     
LIN       Market-Adjusted Model            .        .        .     
CMCSA     Market-Adjusted Model            .        .        .     
HPE       Market-Adjusted Model            .        .        .     
DLR       Market-Adjusted Model            .        .        .     
FRT       Market-Adjusted Model            .        .        .     
FTI       Market-Adjusted Model            .        .        .     
UNP       Market-Adjusted Model            .        .        .     
IP        Market-Adjusted Model            .        .        .     
GPC       Market-Adjusted Model            .        .        .     
BWA       Market-Adjusted Model            .        .        .     
CMS       Market-Adjusted Model            .        .        .     
WHR       Market-Adjusted Model            .        .        .     
REGN      Market-Adjusted Model            .        .        .     
TAP       Market-Adjusted Model            .        .        .     
RJF       Market-Adjusted Model            .        .        .     
ARE       Market-Adjusted Model            .        .        .     
LB        Market-Adjusted Model            .        .        .     
GD        Market-Adjusted Model            .        .        .     
TSCO      Market-Adjusted Model            .        .        .     
FTNT      Market-Adjusted Model            .        .        .     
TRV       Market-Adjusted Model            .        .        .     
PSA       Market-Adjusted Model            .        .        .     
LDOS      Market-Adjusted Model            .        .        .     
LEN       Market-Adjusted Model            .        .        .     
NRG       Market-Adjusted Model            .        .        .     
CHD       Market-Adjusted Model            .        .        .     
ALL       Market-Adjusted Model            .        .        .     
